Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Rwanda,RWA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,5.37717849178342,7.26898430311878,6.18067969706938,7.77665392566841,10.3935220427215,10.6879847934518,10.8834165953429,13.6678238827712,11.2727549070714,11.9942781520571,13.4925358045666,13.8686615802081,13.2317868359616,15.4218031562888,20.5283808772972,21.10801098862,21.8254435390056,19.3259418342726,19.502494693488,22.4780615146911,25.0057307202908,30.8220804418076,..
Rwanda,RWA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,22.1076853332611,21.9299251345738,21.4287584191479,21.5339703097417,23.0681510603655,23.5285535484134,22.338020477063,22.3031493144566,26.3317559477341,28.5465848466622,29.2009566249696,30.0340721108669,31.9701887799487,34.0631039507003,33.1468865404281,34.6761153853403,36.1502193247898,35.8620097177129,34.7913371528487,38.667017988674,39.9011734217134,39.1323331262486,..
Rwanda,RWA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,12.2911723538114,12.7844289211049,12.6161021461481,13.1689898461308,14.3572006203523,15.1471395794747,15.0250898905664,16.7899322992344,21.3446999189279,23.3041445547138,24.4311537415127,23.2290320311828,24.240978094561,25.8958453602119,23.8350248025789,22.3221933243073,27.0287152007204,23.7346563348968,26.7349156072212,25.7418263768417,23.5855215423605,25.914149825303,..
Rwanda,RWA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,18.2524162001332,18.9428692646113,20.0240726339695,19.7925342111095,20.4227338538169,20.7410796579794,21.3818577874299,21.432681776389,19.7066663536462,19.2932037561578,..,..
Rwanda,RWA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.2029781445095,26.0939170525579,24.5156389261776,..
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,12.9476292724141,13.2938948825463,14.416149504273,13.4513713883394,14.2497109145248,14.6053573051595,15.0744687983707,14.4637097844237,13.6800512047892,13.5080695479594,..,..
Rwanda,RWA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.53550295857988,3.39622641509434,3.04893350062735,2.44712990936556,1.97346600331675,1.74305555555556,1.64391043145822,1.36567834681042,1.30649717514124,1.04224962789709,1.05488528481013,1.10273875155611,1.21369473342003,1.24050679129546,1.24889524304653,1.23514702337913,1.19793121977431,1.47371574450349,1.5121767339852,1.33346574344023,1.25231620743593,1.24772078121775,..
Rwanda,RWA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.474803,0.784352,0.980824,1.52232,1.55692,2.46261,3.37878,6.6507,13.4904,52.5467,60.2989,68.167,75.2543,74.8502,72.2765,77.6795,75.5985,81.2379,81.6382,80.5952,91.4623,..,..
Rwanda,RWA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..,..,..,..,..,5.08510868802662,4.99734663070137,11.85599169714,15.3250917465076,13.5312841197923,2.66118423802865,2.58732381679454,10.7603832689793,7.55938643936416,5.10240802707913,4.78472979585672,..,..,..
Rwanda,RWA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,12.7124578313837,18.6616427578685,15.9206229803966,15.0591332029349,16.0740850911778,20.3148130253661,22.2303583678221,23.289477002459,27.8386221315217,37.7673448073183,38.4272867292342,38.754862586572,35.2889117846477,34.3290006352572,36.5941941651402,38.9918782850068,41.8868897806894,46.99054662831,46.0248938670415,49.3911120391151,53.6990573936171,64.7574493364153,..
