Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Burkina Faso,BFA,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,2.93402004241943,3.07612991333008,3.28233003616333,3.90054988861084,5.80702412198475,6.13759899846199,6.60482197221175,6.46077925165826,7.17153876326667,7.69180049715269,8.01309904153355,8.86750602555268,9.86641297816944,11.6871552334747,11.8850277545434,12.0412775233486,11.5248203538257,..
Burkina Faso,BFA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2.14314007759094,2.25787997245789,2.40549993515015,2.92968010902405,4.33792685706514,4.57338342077701,4.89539917725699,4.90356866333498,5.40541465878063,5.8341880408112,6.31826110291158,6.90532594926159,7.64277062242324,9.30513098594236,9.67069485831779,10.1078755635882,10.0419678526515,..
Burkina Faso,BFA,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,0.454369992017746,0.46110999584198,0.458819985389709,0.496289998292923,0.49016823345501,0.486556578541384,0.478951737759968,0.514786457894015,0.504143735419563,0.513405972516748,0.573607716031165,0.553698834468801,0.54523332803079,0.588371628046595,0.623507703689578,0.675541882494631,0.740081389583452,..
Burkina Faso,BFA,"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS,13.7511701583862,13.6555404663086,13.5807199478149,13.0978498458862,15.5709104537964,16.4825801849365,17.316219329834,18.2838897705078,19.4559497833252,20.0931205749512,20.2964096069336,21.486780166626,23.3867206573486,24.4075508117676,26.3370094299316,29.6848201751709,28.1800193786621,..
Burkina Faso,BFA,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,63.0858383178711,66.5741806030273,71.8349533081055,76.6736526489258,84.4733140256516,84.9752530289574,85.9579789380608,86.5275695330647,88.6101254255703,90.4154863352283,92.4735355553231,90.2286887501415,87.5087910500046,86.4893185752264,81.3191114540529,71.0642766859465,76.0639562647496,..
Burkina Faso,BFA,"School enrollment, primary (% net)",SE.PRM.NENR,45.7476,48.74733,54.03414,59.9701,65.68288,66.59063,67.7983,69.38962,75.20863,76.42387,78.64517,..,..,..,..,..,..,..
Burkina Faso,BFA,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,..,..,2.98302006721497,..,3.62785005569458,3.98511004447937,4.06319999694824,4.10555982589722,3.05674004554749,3.69361996650696,4.38336992263794,5.52964019775391,6.35476016998291,6.46367979049683,..,..,..,..
Burkina Faso,BFA,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,50.87188,53.61633,58.81916,64.26456,67.30602,67.82096,69.05833,70.59215,76.31334,77.36641,79.56541,..,..,..,..,..,..,..
Burkina Faso,BFA,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.801310002803802,0.818229973316193,0.838989973068237,0.866330027580261,0.947329998016357,0.967260003089905,0.974290013313293,0.974439978599548,0.978280007839203,0.984899997711182,0.983500003814697,0.994759976863861,1.00919997692108,1.01706540584564,..,..,..,..
Burkina Faso,BFA,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,..,..,2.99716997146606,..,3.6486599445343,4.00373983383179,4.17748022079468,4.13881015777588,3.05084991455078,3.67812991142273,4.36499977111816,5.52064990997314,6.37286996841431,6.50381708145142,..,..,..,..
Burkina Faso,BFA,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,13.31641,14.20713,14.96155,16.97223,21.5402,23.10923,..,27.12727,28.20396,28.95706,30.33627,..,..,..,..,..,..,..
Burkina Faso,BFA,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,0.70754998922348,0.724259972572327,0.732739984989166,0.741750001907349,0.811349987983704,0.846459984779358,0.873290002346039,0.921689987182617,0.950999975204468,0.972750008106232,1.0009800195694,1.03302001953125,1.06068003177643,1.10512316226959,..,..,..,..
